RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS
192,65,15,14,11,0.0,67,,,82,Injury
192,71,17,11,12,0.0,70,,,2,Disqualified
192,44,20,9,13,0.0,63,,,5,Engine
192,22,24,13,14,0.0,56,,,6,Gearbox
192,73,25,21,15,0.0,52,,,6,Gearbox
192,74,18,19,16,0.0,44,,,37,Throttle
192,64,21,22,17,0.0,26,,,6,Gearbox
192,68,25,17,18,0.0,19,,,5,Engine
192,63,21,20,19,0.0,18,,,5,Engine
192,15,20,12,20,0.0,17,,,48,Fuel pump
192,75,18,18,21,0.0,3,,,20,Spun off
192,23,17,8,22,0.0,0,,,20,Spun off
193,30,6,2,1,10.0,72,,,1,Finished
193,57,1,3,2,6.0,72,,,1,Finished
193,56,6,4,3,4.0,72,,,1,Finished
193,25,22,8,4,3.0,72,,,1,Finished
193,55,15,11,5,2.0,72,,,1,Finished
193,14,1,1,6,1.0,72,,,1,Finished
193,21,22,10,7,0.0,72,,,1,Finished
193,71,17,9,8,0.0,71,,,11,+1 Lap
193,49,3,6,9,0.0,71,,,11,+1 Lap
193,22,24,14,10,0.0,70,,,12,+2 Laps
193,15,20,16,11,0.0,70,,,12,+2 Laps
193,68,25,13,12,0.0,70,,,12,+2 Laps
193,75,18,19,13,0.0,69,,,13,+3 Laps
193,73,25,21,14,0.0,68,,,14,+4 Laps
193,44,20,15,15,0.0,65,,,5,Engine
193,74,18,20,16,0.0,63,,,20,Spun off
193,35,3,7,17,0.0,52,,,4,Collision
193,65,15,12,18,0.0,46,,,4,Collision
193,23,17,5,19,0.0,22,,,22,Suspension
193,63,21,17,20,0.0,18,,,6,Gearbox
193,76,24,22,21,0.0,17,,,7,Transmission
193,64,21,18,22,0.0,13,,,6,Gearbox
194,14,1,1,1,10.0,62,,,1,Finished
194,30,6,3,2,6.0,62,,,1,Finished
194,56,6,4,3,4.0,62,,,1,Finished
194,35,3,6,4,3.0,62,,,1,Finished
194,49,3,8,5,2.0,62,,,1,Finished
